Strike price	Vers. num.	Opening price	High	Low	Bid price	Bid volume	Ask price	Ask volume	Diff. to previous day	Last price	Date	Time	Daily settlem. price	Traded contracts	Open interest (adj.)	Open interest date	Last trading day
5,000.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,950.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,900.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,850.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,800.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,750.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,700.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,650.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,600.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,550.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,500.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,450.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/22/2016	n.a.
4,400.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
4,350.00	0	n.a.	n.a.	n.a.	n.a.	0	n.a.	0	+0.00%	0.10	03/21/2016	18:32:36	0.10	0	0	03/21/2016	n.a.
